name,goals_per90,assists_per90,goals_assists_pens_per90
Mickael Malsa,"0.00,0.00,0.00","0.00,0.03,0.00","0.00,0.03,0.00"
Sergio Postigo,"0.06,0.04,0.00","0.06,0.04,0.00","0.11,0.08,0.00"
José Luis Morales,"0.33,0.14,0.85","0.14,0.07,0.28","0.39,0.21,1.13"
Nikola Vukčević,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00"
Rúben Vezo,"0.13,0.00,0.00","0.07,0.00,0.00","0.20,0.00,0.00"
Jorge Miramón,"0.04,0.00,0.00","0.00,0.11,0.33","0.04,0.11,0.33"
Gonzalo Melero,"0.13,0.14,0.36","0.06,0.07,0.00","0.13,0.14,0.36"
Enis Bardhi,"0.09,0.30,0.00","0.12,0.09,0.00","0.21,0.38,0.00"
Carlos Clerc,"0.03,0.00,0.00","0.05,0.09,0.00","0.08,0.09,0.00"
Iñaki Williams,"0.40,0.24,0.00","0.11,0.05,0.35","0.51,0.26,0.35"
Aitor Fernández,,,
Unai Núñez,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Unai Simón,,,
Unai López,"0.00,0.05,0.62","0.00,0.19,0.00","0.00,0.23,0.62"
Ander Capa,"0.00,0.08,0.00","0.00,0.14,0.28","0.00,0.22,0.28"
Dani García,"0.00,0.00,0.00","0.03,0.03,0.00","0.03,0.03,0.00"
Raúl García,"0.33,0.40,0.00","0.15,0.05,0.00","0.40,0.27,0.00"
Lee Kangin,"0.00,0.25,0.00","0.00,0.00,0.80","0.00,0.25,0.80"
Fabián Orellana,"0.10,0.30,0.00","0.16,0.26,0.00","0.23,0.41,0.00"
Sergio González,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Emerson,"0.00,0.09,0.00","0.00,0.18,0.00","0.00,0.27,0.00"
William Carvalho,"0.00,0.00,0.55","0.13,0.00,0.00","0.13,0.00,0.55"
Carlos Akapo,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Quini,"['0.04', '0.00', None]","['0.00', '0.00', None]","['0.04', '0.00', None]"
Iván Alejo,"0.00,0.08,0.76","0.00,0.15,0.00","0.00,0.23,0.76"
Aarón Escandell,,,
Álvaro Giménez,"0.21,0.16,0.00","0.00,0.00,2.00","0.21,0.16,2.00"
Gorka Zabarte,,,
Aïssa Mandi,"0.04,0.00,0.26","0.02,0.00,0.00","0.06,0.00,0.26"
Nabil Fekir,"0.38,0.23,0.24","0.32,0.13,0.47","0.58,0.33,0.47"
Guido Rodríguez,"0.13,0.09,0.00","0.07,0.00,0.00","0.20,0.09,0.00"
Álex Moreno,"0.03,0.00,0.00","0.03,0.15,0.00","0.06,0.15,0.00"
Sergio Canales,"0.21,0.17,0.20","0.07,0.17,0.40","0.24,0.26,0.60"
Rubén,,,
Mikel Oyarzabal,"0.36,0.31,0.32","0.05,0.31,0.32","0.33,0.47,0.32"
Martin Braithwaite,"['0.26', '0.22', None]","['0.04', '0.00', None]","['0.30', '0.22', None]"
Portu,"0.31,0.25,0.50","0.06,0.25,0.00","0.34,0.50,0.50"
Édgar Badía,,,
Samuel Chukwueze,"0.30,0.17,0.00","0.11,0.13,0.33","0.41,0.29,0.33"
Manu Trigueros,"0.00,0.11,0.00","0.00,0.27,0.00","0.00,0.33,0.00"
Fernando Pacheco,,,
Pervis Estupiñán,"0.16,0.03,0.00","0.11,0.17,0.00","0.27,0.20,0.00"
Mario Gaspar,"0.03,0.00,0.00","0.05,0.09,0.24","0.08,0.09,0.24"
Francis Coquelin,"0.00,0.00,0.00","0.03,0.03,0.00","0.03,0.03,0.00"
Vicente Iborra,"0.18,0.03,0.00","0.05,0.07,0.00","0.23,0.10,0.00"
Pau Torres,"0.03,0.06,0.00","0.03,0.06,0.00","0.05,0.12,0.00"
Paco Alcácer,"0.77,0.38,0.75","0.22,0.09,0.00","0.98,0.47,0.75"
Gerard Moreno,"0.38,0.57,0.62","0.09,0.16,0.21","0.47,0.70,0.41"
Moi Gómez,"0.06,0.18,0.00","0.21,0.14,0.00","0.27,0.32,0.00"
Yunus Musah,,,
Raúl Albiol,"0.04,0.03,0.00","0.00,0.00,0.00","0.04,0.03,0.00"
José Campaña,"0.11,0.06,0.00","0.24,0.19,0.25","0.35,0.25,0.25"
Iñigo Martínez,"0.00,0.03,0.00","0.03,0.05,0.00","0.03,0.08,0.00"
Fede San Emeterio,"0.06,0.00,0.00","0.03,0.00,0.00","0.09,0.00,0.00"
Hugo Guillamón,,,
Yann Bodiger,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
