name,goals_per90,assists_per90,goals_assists_pens_per90
Álvaro Tejero,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Damian Kądzior,"0.28,0.39,0.00","0.00,0.04,0.00","0.28,0.42,0.00"
Yoel,,,
Anaitz Arbilla,"0.04,0.04,0.00","0.13,0.00,0.90","0.17,0.04,0.90"
Sergi Enrich,"0.24,0.05,0.00","0.14,0.19,0.00","0.38,0.24,0.00"
Esteban Burgos,"0.19,0.08,0.67","0.00,0.00,0.00","0.03,0.08,0.00"
Rafa Soares,"0.00,0.00,0.00","0.11,0.00,0.00","0.11,0.00,0.00"
Yoshinori Mutō,"0.15,0.23,0.00","0.00,0.00,0.00","0.15,0.23,0.00"
Sergio Álvarez,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Kévin Rodrigues,"0.00,0.05,0.32","0.00,0.09,0.00","0.00,0.14,0.32"
Recio,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Pedro León,"0.21,0.05,0.00","0.00,0.09,0.31","0.21,0.14,0.31"
Papakouli Diop,"0.04,0.04,0.00","0.04,0.00,0.00","0.08,0.04,0.00"
Rober Correa,"0.03,0.00,0.00","0.08,0.00,0.00","0.11,0.00,0.00"
Kevin Omoruyi,,,
Pedro Bigas,"0.00,0.15,0.00","0.12,0.00,0.00","0.12,0.15,0.00"
Dani Escriche,"0.32,0.00,0.00","0.11,0.25,0.00","0.43,0.25,0.00"
Kelechi Nwakali,,,
Joaquín Muñoz,,,
Sergio Gómez,"0.00,0.05,0.00","0.00,0.14,0.00","0.00,0.19,0.00"
Álvaro Fernández,,,
Eugeni Valderrama,"0.30,0.15,0.00","0.19,0.10,0.00","0.38,0.24,0.00"
Javier Ontiveros,"['0.24', None, '0.00']","['0.08', None, '0.00']","['0.33', None, '0.00']"
Pedro López Muñoz,"0.00,0.00,0.00","0.16,0.06,0.00","0.16,0.06,0.00"
Pablo Maffeo,"0.00,0.00,0.51","0.00,0.07,0.00","0.00,0.07,0.51"
Edu Expósito,"0.07,0.15,0.00","0.17,0.04,0.24","0.24,0.15,0.24"
Paulo Oliveira,"0.00,0.04,0.00","0.00,0.00,0.00","0.00,0.04,0.00"
Kike,"0.19,0.25,0.49","0.00,0.05,0.00","0.19,0.31,0.49"
Jaime Seoane,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Luisinho,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Takashi Inui,"0.22,0.09,0.00","0.00,0.14,0.00","0.22,0.23,0.00"
Gastón Silva,"0.00,0.00,0.00","0.06,0.00,0.00","0.06,0.00,0.00"
Pablo Insua,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Borja García,"0.03,0.16,0.00","0.13,0.10,0.00","0.16,0.26,0.00"
Juan Carlos,"0.29,0.20,0.00","0.15,0.05,0.43","0.41,0.24,0.43"
Mikel Rico,"0.00,0.20,0.00","0.00,0.14,0.00","0.00,0.33,0.00"
Rafa Mir,"0.00,0.77,0.00","0.45,0.09,0.00","0.45,0.68,0.00"
Marko Dmitrović,,,
Andrés Fernández,,,
Javi Galán,"0.00,0.05,0.00","0.12,0.05,0.00","0.12,0.10,0.00"
David Ferreiro,"0.04,0.03,0.00","0.12,0.30,0.23","0.16,0.34,0.23"
José Salinas,,,
Dimitris Siovas,"['0.00', None, '0.25']","['0.00', None, '0.00']","['0.00', None, '0.25']"
Ignacio Pastor,,,
Jorge Pulido,"0.09,0.05,0.00","0.09,0.10,0.00","0.19,0.15,0.00"
Pedro Mosquera,"0.00,0.00,0.00","0.08,0.03,0.00","0.08,0.03,0.00"
Claudio Medina,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
César,,,
Luis Castillo,,,
Gerard Barri,,,
Diego Bri,,,
Jonatan Carmona Alamo,,,
Mourad El Ghezouani,"['0.00', None]","['0.00', None]","['0.00', None]"
David García,"0.07,0.00,0.00","0.04,0.00,0.00","0.11,0.00,0.00"
Shinji Okazaki,"1.00,0.44,0.00","0.00,0.00,0.00","1.00,0.44,0.00"
Víctor Rodríguez,"0.16,0.00,0.00","0.24,0.00,0.00","0.32,0.00,0.00"
Cifu,"0.09,0.06,0.00","0.00,0.00,0.00","0.09,0.06,0.00"
Ramón Folch,"0.04,0.00,0.00","0.04,0.00,0.00","0.07,0.00,0.00"
Pere Milla,"0.00,0.33,0.00","0.00,0.05,0.00","0.00,0.37,0.00"
Lucas Boyé,"0.42,0.19,0.51","0.07,0.10,0.00","0.49,0.29,0.51"
Youssouf Koné,"['0.00', None, '0.00']","['0.00', None, '0.00']","['0.00', None, '0.00']"
Juan Sánchez Miño,"0.05,0.00,0.00","0.10,0.00,0.00","0.15,0.00,0.00"
Nino,"0.26,0.22,0.00","0.08,0.10,0.00","0.34,0.32,0.00"
Raúl Guti,"0.09,0.14,0.00","0.09,0.11,0.00","0.19,0.24,0.00"
Dani Calvo,"0.05,0.03,0.00","0.00,0.03,0.00","0.05,0.05,0.00"
Omenuke Mfulu,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Aritz Castro,,,
Tete Morente,"0.17,0.00,0.00","0.25,0.00,0.00","0.41,0.00,0.00"
Gonzalo Verdú,"0.05,0.09,0.00","0.05,0.06,0.00","0.11,0.15,0.00"
Martin Agirregabiria,"0.04,0.04,0.00","0.00,0.04,0.00","0.04,0.09,0.00"
Sergi García,,,
Pepe Blanco,,,
Josan,"0.12,0.04,0.00","0.12,0.33,0.00","0.25,0.37,0.00"
Josema,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']"
Antonio Sivera,,,
Javi López,,,
Fidel,"0.14,0.35,0.00","0.14,0.24,0.00","0.29,0.38,0.00"
Adrián Marín,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Borja Sainz,,,
Abdallahi Mahmoud,,,
Manu García,"0.07,0.00,0.00","0.04,0.00,0.00","0.11,0.00,0.00"
Burgui,"['0.10', '0.00', None]","['0.10', '0.00', None]","['0.10', '0.00', None]"
Luis Rioja,"0.15,0.00,0.00","0.06,0.00,0.00","0.21,0.00,0.00"
Rodrigo Ely,"0.00,0.08,0.53","0.00,0.00,0.00","0.00,0.08,0.53"
